
I20260910 06:20:31.317502 0x1fa65e140 incremental_pipeline.cc:353] Loading database
I20260910 06:20:31.317805 0x1fa65e140 database_cache.cc:73] Loading rigs...
I20260910 06:20:31.317820 0x1fa65e140 database_cache.cc:83]  1 in 0.000s
I20260910 06:20:31.317824 0x1fa65e140 database_cache.cc:91] Loading cameras...
I20260910 06:20:31.317830 0x1fa65e140 database_cache.cc:109]  1 in 0.000s
I20260910 06:20:31.317832 0x1fa65e140 database_cache.cc:117] Loading frames...
I20260910 06:20:31.317846 0x1fa65e140 database_cache.cc:127]  4 in 0.000s
I20260910 06:20:31.317849 0x1fa65e140 database_cache.cc:135] Loading matches...
I20260910 06:20:31.317870 0x1fa65e140 database_cache.cc:140]  4 in 0.000s
I20260910 06:20:31.317872 0x1fa65e140 database_cache.cc:148] Loading images...
I20260910 06:20:31.318089 0x1fa65e140 database_cache.cc:245]  4 in 0.000s (connected 4, loaded 4)
I20260910 06:20:31.318092 0x1fa65e140 database_cache.cc:259] Loading pose priors...
I20260910 06:20:31.318097 0x1fa65e140 database_cache.cc:267]  0 in 0.000s
I20260910 06:20:31.318099 0x1fa65e140 database_cache.cc:275] Building correspondence graph...
I20260910 06:20:31.318170 0x1fa65e140 database_cache.cc:304]  in 0.000s (ignored 0)
I20260910 06:20:31.318174 0x1fa65e140 timer.cc:90] Elapsed time: 0.000 [minutes]
I20260910 06:20:31.319502 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:31.319506 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:31.320565 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:31.320568 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
I20260910 06:20:31.322371 0x1fa65e140 incremental_pipeline.cc:487] => Provided pair is unsuitable for initialization.
I20260910 06:20:31.322374 0x1fa65e140 incremental_pipeline.cc:791] Discarding reconstruction due to bad initial pair
